0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
FCER2	7.861944196150664e-73	AL354892.1	2.6887393458029707e-11	AL136456.1	3.4768356946425804e-15	MST1	4.784675376858523e-14	SLCO4C1	2.641295546820692e-63	AL160291.1	1.6960398624249586e-12	PRKX	3.1969323496643014e-19	MAPKBP1	7.06999531341727e-19	LINC02109	1.0634678037133596e-43	SAMD3	7.768140316437779e-23	DHRS11	1.8126865632833568e-22	LINGO1	1.39264900899569e-14	HLA-DQB1	1.353373496810388e-33	AL357054.4	1.0253742189199602e-15	SIK1	1.3601355333401357e-35	GASK1B	1.0679379028549306e-20	FCER1G	2.516136258136792e-26	ANXA2	5.947944567665244e-06	AC007622.2	6.479178973939328e-06
STRBP	7.932335199032442e-73	LMNTD2	2.696191826108254e-11	AC020916.1	3.628253399185828e-15	ANKRD50	4.842543400804406e-14	AC136604.2	2.846856422028657e-63	AL158212.2	1.7702774005246067e-12	MYO1F	4.190827870808919e-19	AP002383.2	7.343492696801677e-19	SELENON	1.2199081361751047e-43	MATK	1.840956835822803e-22	AL590705.1	1.8753479111209992e-22	BPHL	1.8631059100485973e-14	PALM2-AKAP2	2.584947657477682e-33	RTN4IP1	1.3021764867687707e-15	TMEM60	1.3809947065637706e-35	LILRA6	1.1437050940784842e-20	TYROBP	4.504651530187981e-26	PHLDA2	7.561288251910833e-06	ADAM23	6.56909496518025e-06
NIBAN3	2.149316023826832e-72	CYFIP1	2.7167905580338254e-11	LRIG1	7.970649843397409e-15	TMEM8B	5.258315598993949e-14	AC011287.1	3.07417974555382e-63	GFRA2	1.8032770474740787e-12	GZMA	5.075763093345274e-19	AC092140.1	7.695805951991925e-19	SEMA3A	1.2199081361751047e-43	FNDC3B	8.16104350778101e-22	FAN1	1.9374085690180057e-22	HBB	2.5699398233130462e-14	ST6GAL1	5.9103500898814176e-33	PYROXD2	1.3746949165881846e-15	LINC00892	1.4267693970688747e-35	AC068633.1	1.2119499422704726e-20	IL6R	5.93646467802122e-26	SMARCD3	7.681480717776087e-06	PLXNA3	6.690841429621365e-06
CD22	3.3151935515899537e-72	UNC79	2.726204465480281e-11	IQGAP2	8.235071454310338e-15	AL391097.2	5.2673405332728684e-14	AL138895.1	3.373519120980836e-63	TRIM3	1.869528048873441e-12	GGA2	6.403340709088854e-19	FHIT	8.118925929191523e-19	CATSPERE	1.4492830625027187e-43	NCOA1	2.0231991811718736e-21	POT1-AS1	2.121000672651158e-22	HBA2	2.828339847228092e-14	CAMK1D	8.528535521880546e-33	DMTN	1.4010046631119344e-15	NEK11	1.5699221493954494e-35	AC073140.1	1.218350133901296e-20	TKT	7.601488793603784e-26	FOSL2	9.459368751128405e-06	IRAK1BP1	6.752521188723706e-06
FCRL1	3.128369764376769e-71	NPIPB12	2.735650300146119e-11	ARHGAP10	9.293838013022338e-15	C18orf65	5.502692186860899e-14	CLNK	5.089030547739206e-63	COA7	1.901150390099352e-12	RNF125	2.763522683300961e-18	KCNJ15	8.274225131358033e-19	TLR4	2.095423806636145e-43	PPP1R18	2.0231991811718736e-21	TLR4	2.1496819303156044e-22	ODC1-DT	3.0181931460945036e-14	UVRAG	9.993894708475276e-33	AP5B1	1.408612406903684e-15	NACA2	1.657525734771965e-35	LMNB1-DT	1.2618805224422917e-20	CEBPD	1.4541577451228648e-25	GADD45A	9.708724605796812e-06	USP18	6.7680259039083885e-06
IRF8	1.1774052747616522e-69	MARC1	2.806552134515606e-11	SRGN	9.418099577119634e-15	AC018557.1	6.18731060206693e-14	IGSF1	5.275411395264075e-63	ACACB	1.909938129926367e-12	TNFAIP3	5.7171706332896645e-18	AC021851.2	8.311190413695929e-19	TIGD1	3.5130710457138963e-43	ARHGAP26	4.564781459600423e-21	FAM221A	2.7425654039162917e-22	C19orf47	3.293532558652739e-14	HLA-DQA1	1.0013465975790167e-32	IFI44L	1.7392728728570063e-15	TMEM45B	1.9463273640201213e-35	USHBP1	1.27300126350677e-20	APLP2	2.411725079553715e-25	MAP3K8	1.1734864324033032e-05	CHODL	6.7680259039083885e-06
UVRAG	6.053228681955863e-69	AC005355.1	2.8123791293703482e-11	TGFBR3	1.308720203543412e-14	AC146944.4	6.710532074134086e-14	AC099518.4	5.41708286757103e-63	AL035427.1	1.9593981120318255e-12	NFATC2	6.326002605623792e-18	TFCP2	9.08571142051417e-19	NR2C2AP	3.922248595758697e-43	KLRB1	2.323352557388183e-20	LCMT1-AS1	2.8570300451329795e-22	ZNF382	3.4322242477957664e-14	MEF2C	1.0251311128490174e-32	SAMSN1	1.798938796202967e-15	LINC02325	1.976108146306435e-35	AL020995.1	1.3347490385032451e-20	C5AR1	2.9123888922570176e-25	MT2A	1.2834084803877953e-05	CA2	6.7680259039083885e-06
AUTS2	8.664434408248841e-69	CCNF	2.911257202511546e-11	ASTL	1.5247802894680025e-14	KIFC2	7.021089768086127e-14	CDKL2	5.63672934805185e-63	AL020996.1	2.0552221180096035e-12	MRPL10	2.0633415468111596e-17	TDRKH-AS1	9.259260669238433e-19	PTGER2	6.6686360821053025e-43	ITCH	4.464916415398627e-20	CDC23	2.861060310261406e-22	NAT14	4.719162134675907e-14	JARID2	2.0815988419185827e-32	DHRS11	1.9610242765706474e-15	ARRDC5	2.422746867492839e-35	POLE2	1.3417901136602154e-20	SLC11A1	3.753251776519754e-25	AC007032.1	1.606903397035851e-05	CTNNA3	6.8460616813497405e-06
MEF2A	1.9733990888869394e-68	AC068633.1	3.0302229411815146e-11	EDARADD	1.5849023723771385e-14	MSMP	7.123663322822236e-14	NUMBL	5.744420066624458e-63	AC005674.2	2.1792058810086198e-12	CMC1	2.614081966430926e-16	AC018557.3	9.467631683854072e-19	L3MBTL2	6.9778466648197555e-43	GLIPR2	5.899753197510902e-20	COQ9	3.354663558830218e-22	AC008825.1	5.501110404136879e-14	SEL1L3	4.2203098945338916e-32	TLR4	2.1928030109999663e-15	AC093535.1	2.470444873315991e-35	AL096794.1	1.3583624398298143e-20	TSPO	7.443352892802591e-25	HPS6	1.6718214954508923e-05	CLECL1	6.893295480731723e-06
TNFRSF13C	2.3208831802156293e-67	AC108673.3	3.1075149265163055e-11	FAS	3.818953499791618e-14	CASTOR2	7.50399301356945e-14	AL390774.2	5.832046825465022e-63	AC139795.2	2.2457961372376757e-12	AKNA	4.2840239084563905e-16	AC011498.1	1.0279664979316543e-18	OMA1	7.32680779600385e-43	NEAT1	9.761447673837957e-20	SEMA3A	3.361752652567373e-22	ZDHHC15	6.054003171947177e-14	RRAS2	1.2846729593127339e-31	ITPRID2	2.228472452820632e-15	AKR1E2	2.519075832610885e-35	PTGIR	1.3945591455357e-20	GSTP1	9.571697408887916e-25	LMNA	1.787413649653637e-05	AC005786.3	6.893295480731723e-06
MGAT5	1.265786008227966e-66	C17orf99	3.174672824431272e-11	NFKBIA	6.656515092581244e-14	LINC02055	7.600532938929032e-14	KCNJ15	6.520777703854394e-63	LRRC39	2.2570868755038126e-12	SYNE1	2.8456065811266325e-15	AL109935.1	1.2553266327963996e-18	FAM221A	7.586642442913545e-43	FCER1G	1.3734215347234052e-19	NUDT13	3.573911806527607e-22	CHN1	6.175285424437094e-14	IGHD	2.2490241058113223e-31	FBXL8	2.2374787229098945e-15	PSMG3-AS1	2.535496598465722e-35	AP002026.1	1.4317093283536026e-20	S100A4	1.3225373300461583e-24	APOBEC3G	1.900987595373634e-05	RSPH3	6.972711935106283e-06
RERE	3.4227823002271266e-61	RASGEF1A	3.248843744654368e-11	HERC1	7.121955135370034e-14	EAF1-AS1	8.205942267723383e-14	TGFB2	6.620202384527575e-63	AC073115.2	2.3910000615596405e-12	BICDL1	5.3334827568888355e-15	AC079447.1	1.313689603387462e-18	AP1S1	8.407778504004217e-43	PYHIN1	1.4717829163499125e-19	ZNF69	3.954560170640319e-22	PLET1	6.402627069197046e-14	EBF1	3.8615940755383125e-31	SPATA20	2.4879799793338936e-15	INKA2	2.893437353984198e-35	OMD	1.4698378063666655e-20	S100A8	1.4988578487913765e-24	AAR2	2.0275208158716763e-05	RFC5	7.004722917000131e-06
FAM3C	1.0169930497222443e-60	C1orf220	3.296200915099321e-11	PHACTR2	7.606744880539353e-14	AP001363.2	8.261995797615439e-14	TDRKH-AS1	6.727496721209138e-63	AL022162.1	2.5517757014611202e-12	ID2	1.9663548710083504e-14	IL18R1	1.4529721528564545e-18	RPUSD4	1.0396671323181066e-42	ITGAL	2.1495298862699345e-19	AL163932.1	3.971262730413498e-22	NME9	6.440057649662827e-14	NIBAN3	5.217248252240244e-31	AP1S1	2.625150170762764e-15	PAX8	3.337425566829104e-35	ALG1L2	1.4984351667688582e-20	PLEK	1.8945283528883696e-24	SYTL3	2.2058021940441734e-05	NCEH1	7.232767675642873e-06
ITPR1	1.3359428838306032e-60	ZNF350-AS1	3.3098551738445786e-11	LINC01943	8.266226550470157e-14	AL137025.1	8.346782467796645e-14	ARHGEF38	6.784999315479e-63	CACNA1F	2.5539042620005803e-12	NIBAN1	2.5315619372557677e-14	AL357153.1	1.5254517517939696e-18	MYCBP	1.1661040297448969e-42	TFDP2	3.330314492504446e-19	ZSCAN5A	4.468361046060975e-22	AC073263.2	6.834351311608723e-14	SMCHD1	6.479598901489039e-31	AC147651.4	2.6641600001842147e-15	TTC39C-AS1	3.388314871210674e-35	HAVCR1	1.4984351667688582e-20	PRKAG2	2.3794928663239994e-24	ISOC1	2.2935577572922608e-05	NPHP1	7.28254979351139e-06
CAMK2D	8.15006399344096e-60	HAVCR1	3.351150927583999e-11	AL450992.3	8.809228991148804e-14	ORC6	8.497221842195801e-14	CCNJ	6.993448098894401e-63	CACNB3	2.594679354401927e-12	N4BP1	2.7252612482357836e-14	SMYD4	1.648184152346402e-18	AC245407.2	1.3376988440573227e-42	SLC15A4	5.610562513175207e-19	ZNF165	4.589072918255013e-22	AC005306.1	8.014841287026928e-14	RAB30	7.863619007856301e-31	INKA2	2.8184275120082324e-15	HIST1H2BK	3.5303625608069173e-35	CDCA2	1.5329420081725058e-20	ATP2B1-AS1	2.5570715216706266e-24	LRRC20	2.826139451893059e-05	IGSF22	7.332659487544966e-06
WDFY4	6.43814668246411e-59	B3GAT1	3.4637537729991714e-11	MIAT	9.188024916520211e-14	AC106798.1	9.243104973101609e-14	SCD5	7.221920645445569e-63	SEC24B-AS1	2.644893550609858e-12	MAP3K8	3.2588645621448895e-14	IGSF1	1.6609810344058848e-18	POT1-AS1	1.4116993098726212e-42	CTSC	1.2231747934808517e-18	SORD	5.069403737811859e-22	BORA	8.231778659616179e-14	HLA-DRA	8.044623427524738e-31	AL590705.1	2.9222098546015044e-15	RNF123	4.654278199958594e-35	AC091607.2	1.629799228195256e-20	COTL1	2.8622011070042457e-24	ATG2A	2.9721950639720526e-05	NFS1	7.332659487544966e-06
UBE2E2	4.7658791715246925e-57	ARMCX4	3.51659289666665e-11	DUSP16	1.099135928468136e-13	APTR	9.433402795137057e-14	EREG	7.937912999945846e-63	FRMD5	2.6736957716490665e-12	NEAT1	3.9973132827841826e-14	PHF13	1.698086675957603e-18	SPATA20	1.5264223408992803e-42	IQGAP2	2.181092847402143e-18	KCTD21-AS1	5.126550927454722e-22	PSMC3IP	8.289313770828876e-14	SNX9	1.0607663640823591e-30	PELP1	2.9854766867262584e-15	SPTSSA	4.933380575587083e-35	KIF26B	1.6672954535494514e-20	FOSL2	9.069995738307859e-24	CD69	3.1161902557508164e-05	XACT	7.467902432370489e-06
NCOA3	4.692159844361792e-56	AC006333.2	3.5849846690426615e-11	AL513303.1	1.243842881986004e-13	SRC	9.829791924800588e-14	CACNA1D	8.104687819887112e-63	AC124319.1	2.7208734630169906e-12	CD96	1.858744851508443e-13	PHKG1	1.720741726902315e-18	AP5B1	1.6763909251463218e-42	FKBP11	3.136867254958784e-17	PYROXD2	5.287013649952531e-22	CASP7	8.366642515752649e-14	TRAK1	4.843157750125617e-30	TAB1	3.4034823158235245e-15	LINGO1	5.128624209974162e-35	AC092069.1	1.6731393174146595e-20	EMILIN2	3.530351347041538e-23	ZNF497	3.338115184553306e-05	ADAM22	7.5020840102825295e-06
PRKCE	8.249102173531362e-55	TBC1D2	3.69128777961869e-11	AC058791.1	1.5632869345728136e-13	ST8SIA1	1.0070310564021827e-13	PYGM	8.290608277574495e-63	GRIN2C	2.7413414990666573e-12	RABGAP1L	2.3178910707766014e-13	AC006141.1	1.7786934446066053e-18	PYROXD2	1.7720855424674293e-42	PTPN12	3.599805995847895e-17	PIDD1	7.488698458014217e-22	AC092574.2	8.67304576282001e-14	HLA-DRB5	4.916195228337605e-30	IL6R	3.4584712518840863e-15	HIST1H3I	5.285771576610402e-35	AC004241.3	1.687837731312497e-20	BRI3	6.905172914368985e-23	AL445231.1	3.431022154372764e-05	MIR99AHG	7.5192308498126505e-06
PELI1	1.272752987180972e-53	LINC01301	3.829497931902593e-11	MMP9	1.6458896485750366e-13	AL162497.1	1.019921301147277e-13	MSC-AS1	8.528996092448501e-63	CLEC10A	2.77810259681032e-12	MT2A	2.3430377632049725e-13	PLCXD1	2.2223251262654373e-18	KCTD21-AS1	1.946046694200697e-42	S100A4	4.155168966513885e-17	SNX16	7.583347243987911e-22	OXT	8.784399209337486e-14	MTSS1	6.482703157534003e-30	SEMA3A	3.5190299106191445e-15	ZNF48	5.761617156597654e-35	OGN	1.702663807354565e-20	MYO1F	7.00999904799768e-23	PLEKHF1	3.547140668692397e-05	EFCAB10	7.816524057096334e-06
TPD52	1.5874094731374496e-53	CCDC15	3.949659900785141e-11	STAM	1.797582702727405e-13	LINC02316	1.0233859993529973e-13	CEP112	8.691703634562629e-63	PPP1R32	2.876916034563511e-12	KLRG1	3.5002094295448625e-13	PTX3	2.353198538186396e-18	ADGRL3-AS1	2.266652274708077e-42	TXK	6.37185532061007e-17	AC002460.2	8.633422734772444e-22	IFNGR2	9.244037423027146e-14	ARID5B	1.9851481949584587e-29	IZUMO4	3.594998371214831e-15	ASTN2	6.253013246061359e-35	LGR6	1.7327033384259696e-20	DENND5A	8.868097606318354e-23	ORC6	3.710192974925096e-05	FMNL2	7.83435739307551e-06
PAX5	4.116734275703559e-53	CC2D2A	3.949659900785141e-11	KCTD16	2.1998168935157837e-13	SLC22A18	1.0294770767503612e-13	ALG14	1.0283074658593793e-62	AC090739.1	2.9717529122854914e-12	ZFP36L2	5.086084213960724e-13	PHEX	2.3766097844705826e-18	OCEL1	2.4631380420381882e-42	GZMH	7.171687731072616e-17	AP5B1	9.624133294757323e-22	AL807742.1	9.42788622836823e-14	HLA-DMB	4.856751249503655e-29	CDC23	3.594998371214831e-15	IGHA1	6.341142708656901e-35	AC099791.2	1.7357359593162087e-20	ATP13A3	1.4010711658713782e-22	CHPF	3.846481808929268e-05	NKG7	8.162087048321262e-06
PALM2-AKAP2	1.1383863549216317e-52	TAC4	3.97140488846909e-11	AL606489.1	3.5135505369967707e-13	AC027018.1	1.0453039330231343e-13	THRA1/BTR	1.221059971964521e-62	SLC2A13	3.0140452334575766e-12	IL21R	1.0104067986210242e-12	MORF4L2-AS1	2.673195874269284e-18	SPAG16	2.5148508490343503e-42	GSTP1	1.2551001382562868e-16	SSX2IP	9.799851151032622e-22	AC010618.3	9.493628270597568e-14	COBLL1	9.10981005603508e-29	DHCR7	3.962602341748832e-15	FKTN	6.389107054994523e-35	LDB2	1.7540422080394107e-20	PLIN2	2.1400654325051775e-22	CDH23	3.987513904289831e-05	RAPGEF5	8.274213058091364e-06
SNX9	7.995830523958754e-52	GRIK1	4.13543220148704e-11	COL1A1	4.452679637845801e-13	HPS6	1.0506325049048321e-13	IL6R-AS1	1.2256778923791956e-62	LINC02615	3.174666187434929e-12	MCOLN2	1.60248094549027e-12	AL008633.1	2.6776031986638207e-18	XACT	3.392270257838398e-42	MYBL1	6.531200362521546e-16	IFI44L	1.3452098944343272e-21	BGLAP	9.874765973304315e-14	PELI1	1.1097901244328472e-28	ASB16-AS1	4.413889688040716e-15	GTF2H4	7.332543125405583e-35	FUT4	1.7725393346023418e-20	SGK1	4.821138640410954e-22	TIMM8B	4.0657768483006804e-05	HMGN5	8.368774616931811e-06
HLA-DQA2	1.1923358594291737e-51	LRP8	4.285481028341843e-11	PMAIP1	4.826451150841848e-13	KCNE3	1.0595728424291944e-13	IFT140	1.5722639936756231e-62	C12orf60	3.4165485197716074e-12	GALM	3.8557011860841226e-12	C9orf153	2.7235677533772582e-18	NHEJ1	3.439505490876692e-42	CISD3	1.1207290154786092e-15	FKRP	1.3602185907973977e-21	TRIP6	1.0070934722021376e-13	IRF8	4.493669863100508e-28	FEN1	4.514839937424506e-15	GLMP	9.8005679043054e-35	RNASE2	1.806953026798457e-20	PICALM	6.392404734934449e-22	AC009831.1	4.145495953377514e-05	AL157871.4	8.5415942604455e-06
COBLL1	3.754355300736848e-51	LINC01322	4.347576255317658e-11	PLXND1	4.961731797489553e-13	TIGIT	1.1561214812326838e-13	LINC02100	1.6481528658746092e-62	SLC22A4	3.4250569351853586e-12	PTPN22	4.746392957000123e-12	DENND2A	2.747595323866591e-18	GDI1	4.173760834288888e-42	NCALD	1.2424178194611656e-15	TCAIM	1.4538134718435912e-21	RECQL5	1.0211707719670754e-13	GRK3	4.709674082398431e-28	FAM160A1	4.624206087633727e-15	DMTN	1.0957717681888703e-34	AL031714.1	1.8484762587506915e-20	AGFG1	7.008475112190666e-22	PDE4B	4.2927413829631e-05	SDHAF4	8.797255284599772e-06
PLEKHG1	4.812665115017328e-51	ARL6	4.413572507654071e-11	CCNH	7.008495707189451e-13	AC254562.3	1.1698948232598797e-13	ZNF620	1.6606292956573847e-62	CRTC3-AS1	3.5083834535811072e-12	APMAP	5.497134826014948e-12	SLC30A6	3.231812023514659e-18	FBXL8	6.603222843056647e-42	RIN3	1.4572887409231395e-15	IZUMO4	1.4700204055069946e-21	AC068051.1	1.0794397021067992e-13	TANK	5.590180008091701e-28	BOLA2B	4.9287615432447724e-15	AC005726.5	1.4760757915645635e-34	AC006333.2	1.9175538693388397e-20	ACSL1	8.1484190602913425e-22	BX255925.3	4.4277790647441794e-05	AC008731.1	8.85728395772595e-06
HLA-DMA	9.609809310471013e-51	AC005253.1	4.4362944828556934e-11	PRDM1	8.592758883406323e-13	AC104530.1	1.171875561652878e-13	DENND5B-AS1	1.6606292956573847e-62	AC011405.1	3.596674532203189e-12	IQGAP2	6.054227432201664e-12	AP001977.1	3.3324706960136305e-18	PLXDC1	7.098531029126296e-42	TGFB1	2.2800174909964007e-15	AL357093.2	1.511323941652772e-21	AC024230.1	1.1149261746439974e-13	SIK3	8.143641709265016e-28	EXPH5	5.6280654995324816e-15	CHRM3	1.7000318691381338e-34	GSDME	1.9276282327802685e-20	BCL6	1.0117551991328696e-21	LILRA1	4.580086524218185e-05	PSD3	8.937931290639028e-06
SEL1L3	2.0434205717601226e-50	AC011997.1	4.495908593011462e-11	CDRT4	1.306053180602826e-12	C3AR1	1.2019851415609958e-13	FAXDC2	1.8420349501588681e-62	CCNF	3.6026374502513735e-12	SAMSN1	7.054307147937102e-12	OLMALINC	3.4025312243432042e-18	AC087500.1	7.816871015225682e-42	VAV3	2.9095255910578816e-15	SUSD4	1.8394933521960847e-21	AC013652.1	1.151558519794592e-13	RABGAP1L	5.242128389761307e-27	GMPPA	6.6495481961395984e-15	ZNF623	1.7857586244608766e-34	CCDC15	1.961588888344295e-20	NINJ1	1.063051340699669e-21	SMYD5	4.606690209803483e-05	LINC02550	8.998876757783307e-06
MTSS1	3.729813052608229e-50	ZNF80	4.564106713851993e-11	CYTOR	1.3756382112398953e-12	AC087672.2	1.2475257568893939e-13	AL008633.1	1.862982172573272e-62	INKA2-AS1	3.626586202720552e-12	BCL11B	7.597344965738577e-12	XKR9	3.566503738377479e-18	B4GALT7	9.608812435620933e-42	PITPNC1	3.115856827201467e-15	AL357054.4	1.872846364442766e-21	ZNF391	1.1893730457803062e-13	FCER2	6.620130447020069e-27	ANKRD16	7.141293193541062e-15	AL133523.1	1.8224084108974573e-34	ASGR2	1.965017317370121e-20	CFD	1.1169193203197632e-21	LACTB2	4.8715257257755074e-05	CCDC30	9.03972745526705e-06
RAB30	1.520829358379272e-47	PLA2G15	4.579746870044858e-11	MCF2L2	1.7433173624936544e-12	C1orf198	1.2623684017262812e-13	CALN1	2.287640526498025e-62	RAPGEF4	3.6567417355830875e-12	SAMD3	8.87594187016013e-12	IDUA	3.681469972115888e-18	ZNF773	1.0257322280311361e-41	CCDC28B	4.072095527783323e-15	B3GALT4	1.9333274976840392e-21	LINC01483	1.3454532805751225e-13	UBE2E2	1.8009451153394276e-26	SIK3	7.967713375043915e-15	USP19	1.8538502868409177e-34	AC106707.1	1.965017317370121e-20	NCF2	1.1907851543492282e-21	FBXO6	4.899731643280088e-05	BCORL1	9.060219191922523e-06
IGKC	9.756866915008402e-46	PTGS2	4.713211005608102e-11	DUSP10	1.9133113244846802e-12	AC011462.5	1.2752286873753364e-13	GVQW2	2.3355215826161047e-62	DTL	3.823879245128484e-12	CD69	7.224697703035404e-11	SLC35E2B	4.0665050295675966e-18	PTPN13	1.0417185559096146e-41	IGF2R	4.369237589173787e-15	LAMC1	2.00126066758727e-21	JPT2	1.4284068865928398e-13	MARCH1	1.989921376268733e-26	NEAT1	8.645785603776996e-15	HIST2H2AA4	2.15069414554267e-34	EFCAB12	2.0066234843426145e-20	IFNGR2	1.5127277910197984e-21	ANXA4	4.9423309596236374e-05	ZFP82	9.08075530852873e-06
ATF7IP	3.2811138926056694e-45	CCDC120	4.771567944467114e-11	AP003472.1	1.9778809921275575e-12	AGER	1.2914852098835714e-13	PRNCR1	2.353179361124691e-62	RNASEH2A	3.881238765353689e-12	STAT5A	7.740921337477807e-11	CEP76	4.1156608605487885e-18	BRD8	1.0968174850035134e-41	SYTL3	5.291907487047685e-15	FTCDNL1	2.1003509123544763e-21	DBNDD1	1.4366431591988778e-13	ATF7IP	2.1044968331501173e-26	SFT2D3	8.923243958509827e-15	FAM122A	2.6454582241349395e-34	AQP4-AS1	2.0136420255896615e-20	LYN	2.4323953333728055e-21	AC018557.1	5.116264708132681e-05	SCGB2B2	9.08075530852873e-06
EBF1	1.0092975476290986e-44	MAP1LC3B2	4.824033802217153e-11	AL049869.3	2.1983462721109054e-12	CSF2RB	1.3002384483803612e-13	USP51	2.461954723710753e-62	CHTF18	3.929682054613427e-12	VAV3	1.9451649764222032e-10	TNIP3	4.1745108086428506e-18	AL133453.1	1.3876362052366759e-41	TAB1	5.4499338845053865e-15	TMEM187	2.3649211143219767e-21	SIK1	1.4717480740496597e-13	WDFY4	3.295957550458486e-26	MRNIP	9.017663138796768e-15	PCYT2	2.9682997635334343e-34	ARHGAP44	2.0348436073164966e-20	TALDO1	2.4904675097808443e-21	C3AR1	5.180487886601979e-05	AC097448.1	9.142630851196661e-06
USP6NL	2.23903324282266e-44	WDR88	4.8571111207918776e-11	DGUOK-AS1	2.2311269425382443e-12	CYP2D6	1.3482953899691572e-13	ADGRF3	2.5277058726378523e-62	HAVCR1	3.936185783845758e-12	CYTOR	4.1776117578511215e-10	AC009879.4	4.280671879749236e-18	AC147067.1	1.4360710709541525e-41	CLIC3	5.760481066223842e-15	IL17RC	2.4176610916497082e-21	CIDEB	1.4785296485115365e-13	TMEM131	3.6526085254873406e-26	ATG9A	9.065240747337004e-15	NUDT8	3.0257883727024917e-34	MAP1LC3B2	2.0455270147532327e-20	SLC25A37	4.995297387190997e-21	CTSC	5.973282647478355e-05	FAM53A	9.184104789920628e-06
KHDRBS2	4.122066524208715e-43	COA7	4.89041029178657e-11	AP001977.1	2.2874234348177323e-12	C11orf74	1.3539954419363603e-13	ZNF324B	2.639545346758042e-62	RUSC2	4.001806246439853e-12	TNFSF9	7.281179886670564e-10	LINC02100	4.691525156839849e-18	PAN2	1.5944277849311514e-41	EBP	7.934898765350536e-15	TMEM60	2.6550933778336406e-21	CCDC96	1.5129007958434966e-13	PLEKHA2	6.422218243502267e-26	IFI44	9.065240747337004e-15	AC010618.3	3.3659027805073426e-34	CMTM1	2.1330147193214242e-20	CLEC7A	5.55498794650942e-21	UBE2D1	6.264141932520288e-05	FKBP14	9.246652903880479e-06
VAV3	4.8671332876106736e-43	AC008781.2	5.1667292291654974e-11	AC005884.1	2.3396440772965565e-12	TMED2-DT	1.3770333970138365e-13	AC021231.1	2.792864615593585e-62	MAPK8IP1	4.078596304625922e-12	NFKB1	8.05584640939602e-10	GPAM	4.717172395114506e-18	PLCG1	1.7075773549652774e-41	AKNA	8.17951527789746e-15	MIR4458HG	2.797675259987106e-21	CSTF2T	1.5181237312996253e-13	GNA12	8.056193961068239e-26	TOE1	9.392914226348162e-15	COQ9	3.572684556451547e-34	LILRA2	2.1667678058883293e-20	FCGRT	6.6965633837909275e-21	AC023906.4	6.305916490371226e-05	TSBP1-AS1	9.37297224498583e-06
ADAM19	1.6551467477294106e-42	TIMM8A	5.286167903556661e-11	CENPF	2.5654506848402065e-12	PAN3-AS1	1.4004564241442032e-13	CEP76	2.9606209758973866e-62	B4GALT6	4.126043410612504e-12	PHACTR2	1.2539442173622773e-09	SYT5	4.873988089339869e-18	HJV	1.8924438754989226e-41	PYROXD2	1.5320560802111088e-14	CDYL2	2.8638894146261133e-21	HLA-DMB	1.6096729150457922e-13	PLEKHG1	9.911421894270122e-26	MIR4458HG	9.643123375827517e-15	AC024230.1	3.5802985123503603e-34	CD109	2.178135764978798e-20	SLC43A2	7.20784553426995e-21	ODC1-DT	6.565263864896615e-05	COPG2	9.37297224498583e-06
CAMK1D	3.139108942685415e-42	ITIH4	5.3150876748316024e-11	INPP4B	2.742577204980479e-12	BYSL	1.4302863485460185e-13	GIPR	3.126630677759118e-62	SPRED1	4.215599361104725e-12	SLC7A5	1.832966432223117e-09	NEXN	4.8899498720719145e-18	TRAF3IP2	1.9317394771864157e-41	CCL3	1.573524367131915e-14	AL163973.2	2.9155675989393413e-21	PAX8	1.6413783211079268e-13	CHPT1	1.5244704392716518e-25	SSX2IP	9.783522339910555e-15	C14orf28	3.6186107592057194e-34	TAC4	2.2633221389026798e-20	CPD	1.47295216769654e-20	AC008438.1	6.693939614461223e-05	SDK1	9.50093921749432e-06
